id_venda,id_cliente,id_produto,quantidade,data_venda
V0665,C0592,P1827,1,2024-06-01
V0666,C0827,P1707,8,2024-01-17
V0667,C0161,P0896,8,2024-06-21
V0668,C0942,P0540,5,2024-05-18
V0669,C0204,P0117,9,2025-01-28
V0670,C0226,P1204,9,2024-11-04
V0671,C0246,P0012,10,2024-02-19
V0672,C0959,P0014,3,2025-04-25
V0673,C0622,P1860,5,2024-04-26
V0674,C0596,P0645,4,2024-10-17
V0675,C0878,P1418,7,2025-05-24
V0676,C0933,P0277,2,2024-11-14
V0677,C0590,P1220,4,2024-09-10
V0678,C0493,P0627,5,2024-01-04
V0679,C0771,P0137,3,2025-05-25
V0680,C0050,P1604,8,2024-01-20
V0681,C0999,P0581,4,2024-06-24
V0682,C0014,P0481,7,2025-03-20
V0683,C0040,P0949,1,2025-04-24
V0684,C0666,P0974,3,2024-04-05
V0685,C0182,P0343,3,2024-07-17
V0686,C0251,P1291,5,2025-01-03
V0687,C0207,P1865,4,2024-04-22
V0688,C0585,P0566,4,2025-04-12
V0689,C0722,P0014,9,2024-01-20
V0690,C0271,P0700,10,2024-01-15
V0691,C0734,P0858,7,2024-01-23
V0692,C0903,P0130,6,2024-08-25
V0693,C0656,P0875,4,2024-11-22
V0694,C0043,P0382,8,2024-07-07
V0695,C0488,P1193,1,2024-05-27
V0696,C0925,P0511,5,2024-11-25
V0697,C0252,P0611,5,2024-05-15
V0698,C0375,P1629,8,2025-02-20
V0699,C0332,P1124,10,2024-08-01
V0700,C0442,P0664,7,2024-10-17
V0701,C0982,P1288,1,2025-02-20
V0702,C0181,P1227,3,2025-01-09
V0703,C0879,P1107,7,2024-09-23
V0704,C0091,P1369,7,2024-10-11
V0705,C0630,P1587,10,2025-05-03
V0706,C0414,P1906,4,2025-02-03
V0707,C0129,P0614,5,2025-05-31
V0708,C0354,P1468,8,2025-03-13
V0709,C0906,P1507,8,2024-09-20
V0710,C0225,P2000,9,2025-03-19
V0711,C0876,P1700,10,2025-01-21
V0712,C0058,P1515,1,2024-12-05
V0713,C0039,P0648,5,2024-02-02
V0714,C0947,P0688,9,2024-11-23
V0715,C0479,P1928,1,2024-08-04
V0716,C0788,P1566,5,2024-01-06
V0717,C0409,P1255,4,2025-04-12
V0718,C0409,P1852,10,2025-05-20
V0719,C0540,P0504,10,2025-03-01
V0720,C0035,P1833,3,2024-03-07
V0721,C0381,P1533,9,2024-06-27
V0722,C0907,P0520,3,2024-04-21
V0723,C0950,P0734,9,2024-04-13
V0724,C0575,P1735,6,2024-07-22
V0725,C0797,P1280,1,2024-10-29
V0726,C0720,P1760,5,2024-01-05
V0727,C0442,P1156,4,2024-02-03
V0728,C0800,P1525,1,2024-07-20
V0729,C0228,P0058,6,2024-03-11
V0730,C0827,P1237,8,2024-07-11
V0731,C0488,P0589,7,2025-02-19
V0732,C0760,P0032,5,2025-02-26
V0733,C0209,P1350,1,2024-06-22
V0734,C0851,P0977,2,2024-12-23
V0735,C0343,P0563,8,2024-06-09
V0736,C0561,P1893,7,2024-01-27
V0737,C0500,P0535,5,2024-03-27
V0738,C0341,P0714,7,2025-05-20
V0739,C0739,P1191,3,2024-09-17
V0740,C0746,P0527,6,2025-02-24
V0741,C0216,P0376,9,2024-03-23
V0742,C0369,P0118,6,2025-03-10
V0743,C0430,P0997,7,2024-10-24
V0744,C0209,P1089,10,2024-09-28
V0745,C0329,P1562,7,2025-04-07
V0746,C0024,P1512,4,2025-03-28
V0747,C0775,P0185,9,2025-03-12
V0748,C0438,P1644,5,2024-03-11
V0749,C0223,P0309,6,2025-02-13
V0750,C0270,P1586,10,2025-01-21
V0751,C0745,P1108,5,2024-10-24
V0752,C0577,P0647,5,2024-02-18
V0753,C0171,P0276,6,2025-01-10
V0754,C0989,P0680,2,2025-01-09
V0755,C0228,P0681,8,2024-04-02
V0756,C0399,P1930,7,2024-05-31
V0757,C0835,P0513,7,2024-09-18
V0758,C0413,P1157,5,2024-01-19
V0759,C0305,P1044,2,2025-05-17
V0760,C0293,P1065,10,2025-03-20
V0761,C0433,P0860,9,2024-02-15
V0762,C0543,P0120,8,2024-05-20
V0763,C0516,P0088,4,2024-10-05
V0764,C0497,P0880,4,2024-11-25
V0765,C0244,P1733,3,2024-12-05
V0766,C0318,P0935,5,2025-02-04
V0767,C0095,P1318,10,2024-02-12
V0768,C0899,P0607,9,2024-09-21
V0769,C0433,P0742,9,2024-03-26
V0770,C0920,P1164,9,2025-01-14
V0771,C0210,P0114,1,2025-01-29
V0772,C0162,P1863,2,2024-10-22
V0773,C0345,P1556,7,2024-11-04
V0774,C0850,P0362,1,2024-02-19
V0775,C0520,P0655,8,2025-04-17
V0776,C0634,P1990,9,2024-05-18
V0777,C0819,P1980,1,2024-06-27
V0778,C0127,P0885,1,2024-02-10
V0779,C0495,P0661,8,2024-02-24
V0780,C0104,P1264,3,2024-11-15
V0781,C0535,P1317,7,2024-08-07
V0782,C0765,P1035,4,2025-01-20
V0783,C0904,P1943,9,2024-11-28
V0784,C0022,P1177,10,2024-04-29
V0785,C0206,P0302,1,2024-11-22
V0786,C0466,P0675,6,2024-02-23
V0787,C0912,P1689,10,2025-04-18
V0788,C0055,P1850,9,2025-01-12
V0789,C0075,P0629,10,2024-10-01
V0790,C0436,P1009,8,2024-04-19
V0791,C0949,P0675,1,2024-05-06
V0792,C0728,P0390,8,2025-02-13
V0793,C0181,P1060,5,2024-06-01
V0794,C0145,P1654,2,2024-02-22
V0795,C0430,P1694,6,2025-01-08
V0796,C0531,P0175,2,2024-10-30
V0797,C0525,P1692,7,2024-04-14
V0798,C0250,P1783,1,2024-07-17
V0799,C0396,P1313,4,2025-04-13
V0800,C0431,P1800,2,2025-01-05
V0801,C0408,P1260,7,2024-03-02
V0802,C0976,P0040,10,2024-01-30
V0803,C0103,P1776,10,2024-12-21
V0804,C0782,P1495,10,2024-07-15
V0805,C0731,P0041,7,2025-02-08
V0806,C0635,P1597,1,2024-03-30
V0807,C0471,P0046,5,2025-04-21
V0808,C0341,P0155,1,2024-02-09
V0809,C0129,P1198,8,2024-12-12
V0810,C0883,P0348,4,2024-07-18
V0811,C0633,P0932,6,2024-09-03
V0812,C0378,P0793,3,2024-04-15
V0813,C0758,P1939,7,2024-01-01
V0814,C0999,P0833,3,2024-10-04
V0815,C0497,P0135,8,2024-07-17
V0816,C0215,P1064,10,2024-09-16
V0817,C0779,P1752,8,2024-06-27
V0818,C0059,P0384,3,2024-10-26
V0819,C0859,P0430,6,2024-01-18
V0820,C0701,P1501,7,2025-03-07
V0821,C0243,P1583,4,2024-09-13
V0822,C0615,P0026,3,2024-10-11
V0823,C0804,P0784,7,2024-01-31
V0824,C0455,P1149,10,2025-03-10
V0825,C0003,P1011,9,2024-05-02
V0826,C0559,P1708,8,2024-05-04
V0827,C0129,P0586,3,2024-04-28
V0828,C0981,P0894,2,2025-01-14
V0829,C0354,P1813,1,2024-07-14
V0830,C0827,P0476,3,2024-12-19
V0831,C0638,P1273,4,2024-02-19
V0832,C0360,P0422,10,2025-03-02
V0833,C0601,P1810,6,2024-06-03
V0834,C0020,P1070,10,2024-06-16
V0835,C0897,P0439,8,2024-07-20
V0836,C0340,P0556,8,2024-07-31
V0837,C0398,P0646,3,2024-11-24
V0838,C0080,P1195,9,2024-05-29
V0839,C0379,P1931,4,2024-01-12
V0840,C0947,P0763,10,2024-11-15
V0841,C0831,P1464,5,2024-06-02
V0842,C0186,P1784,6,2025-03-27
V0843,C0129,P0018,5,2025-04-20
V0844,C0698,P1591,8,2025-01-26
V0845,C0809,P0461,3,2024-01-10
V0846,C0906,P0596,1,2025-04-01
V0847,C0281,P1264,2,2025-02-18
V0848,C0906,P1115,10,2025-05-17
V0849,C0458,P0136,4,2025-04-22
V0850,C0383,P0295,7,2024-10-24
V0851,C0770,P0010,8,2025-04-14
V0852,C0066,P1796,1,2024-07-02
V0853,C0055,P1888,3,2024-02-16
V0854,C0067,P1291,3,2025-03-19
V0855,C0723,P0774,6,2024-01-04
V0856,C0465,P0951,3,2024-05-31
V0857,C0520,P0902,7,2024-04-18
V0858,C0881,P0909,5,2025-05-05
V0859,C0884,P1758,7,2024-05-28
V0860,C0389,P0240,3,2024-04-10
V0861,C0013,P0095,7,2024-01-10
V0862,C0107,P1933,3,2025-03-09
V0863,C0467,P0146,8,2025-03-26
V0864,C0081,P0303,2,2024-05-09
V0865,C0938,P0117,9,2024-12-24
V0866,C0071,P0246,8,2025-01-04
V0867,C0234,P0863,9,2025-04-10
V0868,C0212,P1054,9,2024-05-15
V0869,C0892,P1582,4,2025-03-08
V0870,C0505,P0801,9,2024-05-10
V0871,C0144,P0788,10,2024-06-05
V0872,C0870,P1358,2,2024-05-22
V0873,C0320,P1131,4,2024-12-15
V0874,C0220,P0709,2,2024-05-24
V0875,C0201,P0975,1,2024-07-22
V0876,C0281,P0523,4,2024-11-28
V0877,C0465,P1181,5,2024-05-07
V0878,C0617,P1949,7,2024-06-13
V0879,C0028,P1101,6,2024-04-20
V0880,C0242,P0923,10,2024-03-28
V0881,C0184,P0093,1,2024-06-10
V0882,C0489,P0672,4,2024-03-07
V0883,C0768,P0524,3,2024-10-11
V0884,C0904,P0235,5,2024-03-16
V0885,C0120,P1968,2,2025-01-25
V0886,C0338,P1087,7,2024-02-05
V0887,C0226,P0981,2,2025-01-13
V0888,C0388,P0833,9,2024-10-17
V0889,C0854,P0436,4,2024-11-23
V0890,C0770,P1386,7,2024-03-12
V0891,C0646,P0646,1,2024-06-08
V0892,C0818,P1287,10,2025-01-20
V0893,C0293,P1534,5,2025-01-04
V0894,C0095,P1359,5,2024-07-27
V0895,C0938,P0392,10,2024-10-10
V0896,C0672,P0116,7,2024-06-13
V0897,C0267,P1325,8,2024-06-09
V0898,C0705,P0017,6,2024-12-01
V0899,C0492,P1776,3,2024-04-26
V0900,C0484,P1844,2,2024-01-03
V0901,C0244,P1157,1,2025-03-31
V0902,C0965,P1742,3,2024-01-20
V0903,C0564,P0544,1,2025-04-18
V0904,C0008,P1661,4,2025-05-13
V0905,C0709,P0093,8,2024-03-19
V0906,C0181,P0707,1,2024-12-13
V0907,C0024,P0388,3,2024-10-06
V0908,C0399,P1328,3,2024-03-11
V0909,C0574,P1916,8,2024-11-07
V0910,C0589,P1704,5,2024-08-05
V0911,C0118,P0182,6,2024-09-06
V0912,C0698,P0906,10,2025-04-16
V0913,C0839,P0496,8,2024-10-25
V0914,C0058,P1578,3,2025-04-17
V0915,C0178,P1003,1,2024-08-20
V0916,C0542,P1427,10,2024-10-31
V0917,C0953,P0232,7,2024-07-20
V0918,C0480,P1780,8,2025-03-12
V0919,C0275,P1559,10,2024-06-06
V0920,C0618,P1838,1,2025-04-01
V0921,C0022,P0478,1,2025-01-21
V0922,C0275,P0689,7,2024-11-27
V0923,C0447,P0459,5,2024-02-15
V0924,C0318,P1407,3,2024-05-30
V0925,C0618,P1636,9,2024-03-14
V0926,C0256,P0814,10,2024-03-16
V0927,C0649,P1715,1,2025-05-29
V0928,C0926,P1121,1,2024-02-18
V0929,C0710,P0220,9,2024-09-28
V0930,C0471,P0410,7,2024-04-07
V0931,C0626,P0673,4,2025-04-11
V0932,C0156,P1150,2,2025-01-12
V0933,C0241,P0205,5,2025-05-20
V0934,C0978,P0520,1,2025-03-17
V0935,C0007,P0069,9,2024-08-27
V0936,C0485,P0593,8,2024-04-01
V0937,C0615,P1132,4,2025-02-05
V0938,C0125,P0857,6,2024-10-15
V0939,C0920,P0739,8,2024-11-29
V0940,C0802,P1558,1,2024-11-16
V0941,C0427,P1097,1,2024-11-10
V0942,C0526,P1666,2,2025-04-10
V0943,C0898,P0283,1,2024-06-21
V0944,C0313,P0277,7,2025-01-19
V0945,C0184,P1299,7,2024-12-22
V0946,C0408,P0881,5,2025-04-18
V0947,C0531,P0120,4,2024-12-14
V0948,C0823,P0514,5,2024-11-02
V0949,C0756,P0927,2,2024-12-06
V0950,C0155,P0381,5,2025-03-18
V0951,C0578,P0603,6,2024-06-02
V0952,C0049,P1930,7,2024-07-07
V0953,C0457,P0413,4,2025-02-20
V0954,C0425,P0086,8,2025-05-06
V0955,C0508,P0818,9,2025-05-16
V0956,C0413,P1236,2,2024-09-28
V0957,C0493,P0083,10,2025-01-23
V0958,C0242,P0125,1,2025-04-27
V0959,C0670,P1973,2,2024-10-05
V0960,C0373,P1779,5,2025-05-25
V0961,C0657,P1997,3,2024-02-04
V0962,C0342,P1477,9,2024-04-03
V0963,C0304,P1337,8,2025-01-20
V0964,C0464,P0453,4,2024-03-25
V0965,C0186,P0224,8,2024-01-18
V0966,C0489,P1695,9,2025-01-11
V0967,C0064,P0134,7,2024-02-22
V0968,C0978,P1926,4,2025-04-09
V0969,C0974,P0652,10,2024-03-30
V0970,C0219,P0008,9,2024-09-15
V0971,C0716,P0929,5,2024-12-24
V0972,C0163,P0892,10,2024-05-18
V0973,C0732,P1266,7,2024-04-23
V0974,C0008,P0156,5,2024-07-15
V0975,C0354,P0801,2,2024-02-12
V0976,C0564,P1982,6,2025-04-12
V0977,C0227,P0926,4,2024-03-26
V0978,C0218,P0334,4,2025-04-06
V0979,C0898,P0019,8,2025-05-04
V0980,C0183,P1467,7,2024-05-20
V0981,C0453,P1637,10,2024-05-06
V0982,C0290,P1140,3,2025-05-23
V0983,C0723,P0469,10,2025-02-27
V0984,C0723,P0442,4,2024-11-06
V0985,C0942,P0020,8,2024-09-27
V0986,C0456,P0522,2,2024-12-03
V0987,C0135,P1846,9,2024-05-24
V0988,C0943,P1296,3,2025-02-14
V0989,C0706,P1049,5,2024-07-26
V0990,C0995,P0446,2,2024-04-24
V0991,C0412,P0935,7,2024-11-21
V0992,C0631,P1027,6,2024-08-14
V0993,C0334,P0947,3,2025-05-13
V0994,C0463,P1549,1,2024-02-21
V0995,C0696,P0407,1,2024-04-15
V0996,C0315,P0375,5,2024-12-23
V0997,C0319,P1607,8,2024-12-10
V0998,C0388,P0129,7,2025-01-31
V0999,C0493,P0716,6,2024-09-25
V1000,C0574,P0750,4,2024-04-08
V1001,C0595,P1180,10,2025-05-30
V1002,C0268,P1169,2,2024-12-04
V1003,C0843,P0095,10,2025-03-10
V1004,C0004,P0763,3,2024-07-20
V1005,C0804,P0593,4,2025-05-15
V1006,C0618,P1287,10,2025-04-15
V1007,C0308,P0551,9,2024-06-01
V1008,C0117,P1577,4,2025-02-18
V1009,C0304,P1546,7,2024-10-16
V1010,C0490,P0992,6,2024-03-30
V1011,C0602,P1231,1,2025-03-26
V1012,C0825,P0318,9,2024-02-10
V1013,C0722,P0624,6,2024-04-12
V1014,C0679,P1428,4,2024-10-07
V1015,C0972,P1190,3,2024-03-23
V1016,C0370,P1791,5,2025-01-21
V1017,C0973,P1130,1,2025-02-26
V1018,C0981,P1267,1,2024-06-14
V1019,C0365,P1461,3,2024-10-19
V1020,C0914,P0960,8,2024-03-14
V1021,C0118,P1767,9,2024-07-30
V1022,C0636,P0537,4,2025-04-16
V1023,C0147,P0986,2,2025-04-07
V1024,C0507,P0926,8,2024-09-06
V1025,C0175,P0206,2,2024-11-13
V1026,C0718,P1274,5,2024-05-19
V1027,C0926,P1172,9,2024-06-24
V1028,C0176,P0867,3,2024-11-03
V1029,C0609,P1954,4,2024-08-28
V1030,C0666,P0748,3,2025-01-18
V1031,C0793,P0160,4,2025-04-15
V1032,C0324,P1130,5,2024-04-09
V1033,C0112,P0144,9,2024-03-25
V1034,C0630,P0029,8,2024-11-11
V1035,C0347,P1256,8,2024-07-19
V1036,C0985,P0939,9,2024-11-24
V1037,C0266,P0038,1,2025-03-09
V1038,C0093,P1225,10,2025-05-05
V1039,C0070,P0964,5,2024-09-14
V1040,C0039,P0844,10,2024-02-01
V1041,C0788,P0602,3,2024-05-05
V1042,C0005,P0560,1,2024-04-11
V1043,C0502,P1504,3,2024-05-24
V1044,C0694,P1797,8,2024-01-15
V1045,C0821,P1011,7,2024-06-09
V1046,C0762,P1062,1,2024-01-30
V1047,C0721,P1776,2,2024-10-12
V1048,C0389,P1729,8,2024-10-05
V1049,C0003,P1237,10,2024-10-05
V1050,C0890,P1866,9,2025-04-23
V1051,C0183,P1036,2,2025-05-16
V1052,C0524,P0161,2,2024-02-26
V1053,C0602,P1321,9,2024-12-07
V1054,C0996,P0627,8,2025-02-20
V1055,C0188,P1448,1,2024-06-04
V1056,C0983,P1757,6,2024-04-10
V1057,C0862,P0513,7,2024-11-16
V1058,C0211,P1838,8,2024-06-17
V1059,C0143,P1180,2,2024-05-12
V1060,C0600,P1887,6,2024-03-29
V1061,C0757,P0915,10,2024-08-15
V1062,C0924,P1739,8,2025-03-16
V1063,C0990,P1648,8,2024-02-23
V1064,C0985,P0290,1,2025-05-12
V1065,C0955,P1494,8,2025-01-14
V1066,C0217,P0031,3,2025-01-09
V1067,C0706,P1352,2,2024-09-17
V1068,C0208,P1719,1,2024-12-12
V1069,C0813,P0181,5,2025-04-15
V1070,C0404,P0155,4,2024-05-29
V1071,C0415,P0778,7,2025-03-26
V1072,C0205,P0245,10,2025-01-14
V1073,C0159,P0309,6,2025-02-24
V1074,C0755,P0412,10,2024-01-29
V1075,C0960,P1136,9,2025-04-27
V1076,C0336,P0706,1,2024-03-11
V1077,C0692,P0036,4,2024-10-20
V1078,C0168,P0865,2,2024-03-21
V1079,C0367,P1286,8,2024-05-16
V1080,C0037,P1705,9,2024-06-12
V1081,C0838,P1265,4,2024-01-19
V1082,C0999,P1862,8,2025-03-19
V1083,C0885,P1605,2,2025-03-18
V1084,C0831,P0837,5,2024-10-05
V1085,C0482,P1312,9,2025-01-24
V1086,C0626,P1489,6,2025-03-29
V1087,C0528,P0284,8,2024-12-15
V1088,C0226,P0699,2,2024-09-06
V1089,C0124,P1469,2,2024-07-27
V1090,C0338,P1705,10,2025-03-30
V1091,C0835,P1179,3,2024-09-13
V1092,C0796,P1753,7,2025-03-11
V1093,C0054,P1865,9,2024-12-27
V1094,C0579,P0601,1,2025-02-04
V1095,C0409,P1232,7,2025-05-04
V1096,C0130,P1650,7,2025-01-08
V1097,C0302,P0262,6,2024-07-20
V1098,C0009,P0426,2,2024-11-08
V1099,C0335,P0119,4,2024-06-04
V1100,C0788,P0402,1,2024-01-30
V1101,C0670,P0571,4,2025-01-04
V1102,C0704,P0450,1,2024-09-23
V1103,C0352,P1586,10,2024-02-02
V1104,C0291,P0741,7,2024-04-03
V1105,C0095,P0601,5,2024-04-27
V1106,C0821,P1392,9,2025-05-30
V1107,C0494,P0278,10,2025-04-01
V1108,C0299,P0173,6,2024-05-14
V1109,C0289,P0598,10,2024-10-19
V1110,C0180,P0314,4,2024-04-21
V1111,C0389,P1324,9,2025-02-12
V1112,C0421,P0666,7,2025-05-27
V1113,C0701,P0809,4,2024-09-21
V1114,C0355,P0940,3,2024-08-02
V1115,C0060,P1044,6,2024-11-25
V1116,C0629,P0075,9,2024-12-07
V1117,C0393,P0985,6,2024-05-13
V1118,C0311,P1822,10,2025-05-02
V1119,C0888,P1485,9,2025-01-01
V1120,C0210,P0122,3,2024-05-02
V1121,C0904,P1167,7,2024-11-15
V1122,C0470,P0014,6,2025-01-29
V1123,C0342,P1902,6,2024-09-28
V1124,C0115,P0191,5,2024-09-21
V1125,C0694,P1749,4,2024-11-11
V1126,C0088,P1519,8,2024-10-03
V1127,C0704,P0985,2,2024-04-13
V1128,C0044,P1234,3,2024-11-05
V1129,C0942,P1046,1,2024-12-23
V1130,C0168,P0493,2,2024-06-13
V1131,C0617,P1920,7,2024-06-27
V1132,C0734,P1544,6,2024-09-12
V1133,C0910,P1211,2,2024-10-18
V1134,C0118,P1203,6,2024-03-25
V1135,C0573,P0201,10,2024-07-03
V1136,C0218,P1253,4,2024-02-05
V1137,C0670,P0665,10,2024-07-21
V1138,C0371,P0219,7,2024-02-05
V1139,C0576,P1721,3,2024-05-07
V1140,C0313,P1822,4,2024-03-20
V1141,C0786,P0872,10,2024-08-06
V1142,C0007,P1612,2,2024-07-13
V1143,C0226,P0500,5,2024-01-11
V1144,C0154,P1726,6,2024-12-14
V1145,C0628,P0244,7,2025-03-31
V1146,C0427,P1352,1,2025-02-14
V1147,C0933,P1300,5,2024-11-05
V1148,C0679,P0471,1,2024-04-08
V1149,C0689,P0559,10,2025-03-27
V1150,C0614,P1536,6,2025-05-09
V1151,C0052,P0802,8,2024-05-18
V1152,C0041,P0362,1,2024-04-04
V1153,C0448,P0457,9,2024-02-03
V1154,C0202,P0851,6,2024-01-19
V1155,C0061,P0707,2,2024-08-17
V1156,C0488,P0065,6,2024-08-10
V1157,C0263,P1353,8,2024-07-17
V1158,C0812,P0459,8,2024-07-08
V1159,C0115,P1968,3,2024-02-23
V1160,C0489,P0971,5,2025-01-20
V1161,C0718,P0777,6,2025-02-04
V1162,C0560,P1217,4,2024-12-03
V1163,C0831,P1434,6,2025-04-09
V1164,C0221,P1002,7,2025-02-25
V1165,C0906,P1844,7,2024-03-10
V1166,C0540,P1344,2,2024-06-22
V1167,C0429,P0982,3,2024-01-26
V1168,C0318,P1773,6,2024-04-18
V1169,C0502,P0101,10,2025-03-24
V1170,C0994,P0039,1,2024-02-16
V1171,C0991,P1148,2,2025-01-18
V1172,C0033,P1729,4,2024-04-16
V1173,C0353,P1156,9,2025-05-24
V1174,C0313,P0100,5,2024-03-18
V1175,C0532,P1716,2,2024-09-18
V1176,C0256,P0275,6,2025-02-14
V1177,C0020,P1346,2,2024-04-29
V1178,C0604,P1448,10,2024-10-08
V1179,C0739,P0380,3,2024-12-15
V1180,C0749,P1575,7,2024-10-15
V1181,C0741,P1582,1,2025-04-02
V1182,C0197,P0682,8,2024-05-25
V1183,C0123,P0481,9,2024-02-02
V1184,C0627,P0359,3,2024-10-30
V1185,C0356,P1901,5,2024-12-21
V1186,C0819,P1050,5,2024-07-21
V1187,C0343,P0280,6,2024-04-27
V1188,C0123,P1242,9,2025-02-20
V1189,C0188,P1700,2,2024-05-03
V1190,C0129,P0775,1,2024-02-11
V1191,C0133,P1251,7,2024-11-13
V1192,C0808,P0920,5,2024-06-18
V1193,C0879,P1795,8,2024-12-10
V1194,C0999,P1337,9,2025-03-07
V1195,C0187,P0328,7,2024-11-29
V1196,C0613,P0586,1,2024-11-30
V1197,C0037,P0225,2,2025-04-11
V1198,C0007,P0994,10,2024-04-09
V1199,C0475,P0797,6,2024-05-21
V1200,C0829,P0356,8,2024-07-11
V1201,C0125,P1656,3,2024-09-29
V1202,C0372,P1507,9,2024-08-19
V1203,C0072,P1504,6,2024-06-15
V1204,C0824,P1743,5,2024-08-27
V1205,C0122,P1473,5,2024-01-03
V1206,C0261,P0586,4,2024-03-07
V1207,C0967,P1994,10,2024-12-04
V1208,C0381,P1012,6,2024-05-30
V1209,C0281,P1913,2,2025-04-07
V1210,C0944,P1217,1,2024-12-25
V1211,C0388,P1276,10,2024-08-23
V1212,C0040,P0342,5,2025-03-05
V1213,C0735,P1318,2,2024-06-23
V1214,C0270,P1878,7,2025-03-27
V1215,C0580,P1030,9,2024-02-16
V1216,C0746,P1610,1,2024-06-07
V1217,C0355,P1337,4,2024-02-23
V1218,C0202,P0155,10,2024-08-30
V1219,C0044,P1463,4,2025-02-27
V1220,C0562,P1448,7,2025-04-19
V1221,C0977,P1393,5,2024-03-29
V1222,C0688,P1096,9,2024-12-12
V1223,C0100,P0298,4,2024-02-14
V1224,C0728,P0806,10,2025-04-13
V1225,C0706,P1398,6,2024-05-12
V1226,C0211,P0695,7,2024-01-02
V1227,C0937,P1255,10,2024-05-31
V1228,C0536,P1244,8,2024-12-31
V1229,C0355,P1281,3,2024-11-11
V1230,C0763,P0886,7,2024-10-08
V1231,C0839,P0916,6,2024-09-28
V1232,C0378,P1285,7,2025-01-14
V1233,C0123,P1403,4,2025-05-06
V1234,C0567,P1795,8,2024-03-29
V1235,C0150,P1042,8,2024-08-03
V1236,C0961,P0007,8,2024-07-02
V1237,C0200,P0040,3,2024-12-18
V1238,C0367,P0694,6,2024-11-19
V1239,C0798,P1176,5,2025-01-04
V1240,C0171,P0095,1,2024-04-10
V1241,C0014,P0296,1,2024-08-28
V1242,C0499,P1812,6,2025-05-11
V1243,C0795,P1658,1,2024-09-07
V1244,C0019,P0768,5,2024-08-25
V1245,C0904,P1102,5,2024-04-17
V1246,C0524,P1295,1,2024-03-10
V1247,C0320,P1113,1,2024-11-08
V1248,C0557,P1170,10,2025-04-13
V1249,C0307,P1660,3,2025-01-30
V1250,C0011,P1976,10,2024-12-15
V1251,C0386,P0593,3,2024-08-31
V1252,C0849,P1991,10,2024-03-24
V1253,C0778,P0886,10,2025-03-14
V1254,C0061,P1013,7,2024-12-14
V1255,C0226,P0380,8,2025-02-27
V1256,C0904,P1192,4,2025-04-15
V1257,C0017,P0454,4,2025-03-30
V1258,C0770,P0302,9,2024-04-14
V1259,C0809,P1605,7,2025-05-25
V1260,C0093,P0198,7,2024-02-12
V1261,C0871,P1332,7,2025-03-30
V1262,C0376,P1052,10,2024-05-10
V1263,C0997,P0787,2,2024-09-24
V1264,C0958,P0862,9,2024-04-13
V1265,C0509,P0483,8,2024-09-22
V1266,C0671,P0110,6,2025-02-01
V1267,C0443,P1436,2,2025-02-05
V1268,C0240,P0433,1,2024-01-27
V1269,C0507,P1172,10,2024-02-09
V1270,C0575,P0251,2,2024-07-11
V1271,C0243,P1308,2,2025-05-10
V1272,C0436,P1989,8,2025-05-17
V1273,C0292,P1899,8,2024-07-31
V1274,C0569,P1559,8,2024-07-30
V1275,C0718,P0231,4,2024-03-13
V1276,C0041,P1793,8,2024-03-10
V1277,C0101,P1643,2,2025-05-31
V1278,C0348,P1298,2,2025-01-09
V1279,C0672,P1253,2,2025-02-17
V1280,C0136,P1007,1,2024-10-08
V1281,C0411,P0059,9,2025-02-12
V1282,C0708,P1173,5,2024-10-08
V1283,C0356,P1106,3,2024-09-12
V1284,C0135,P1864,3,2024-02-20
V1285,C0222,P0588,5,2024-10-23
V1286,C0643,P1080,4,2025-01-26
V1287,C0650,P1309,3,2024-04-22
V1288,C0287,P1529,4,2024-10-01
V1289,C0197,P0608,1,2024-09-24
V1290,C0341,P1415,9,2024-10-28
V1291,C0160,P1929,9,2025-03-30
V1292,C0753,P0316,6,2024-12-18
V1293,C0799,P1544,4,2024-10-08
V1294,C0797,P0935,1,2024-10-09
V1295,C0888,P0291,5,2025-05-05
V1296,C0176,P0462,10,2024-06-13
V1297,C0178,P0944,9,2024-05-23
V1298,C0829,P1714,5,2024-06-29
V1299,C0779,P1252,8,2025-03-27
V1300,C0124,P1089,5,2024-12-10
V1301,C0333,P0818,9,2024-09-07
V1302,C0549,P1628,10,2025-03-21
V1303,C0422,P0404,6,2025-05-14
V1304,C0666,P1191,10,2025-01-09
V1305,C0325,P1175,2,2025-05-09
V1306,C0916,P0907,10,2024-06-17
V1307,C0401,P0507,8,2024-04-30
V1308,C0537,P0591,7,2025-03-25
V1309,C0456,P1655,2,2025-01-21
V1310,C0119,P1934,7,2024-05-07
V1311,C0906,P0553,5,2025-02-23
V1312,C0339,P0206,4,2025-03-14
V1313,C0240,P0866,6,2024-05-20
V1314,C0273,P0564,9,2024-02-18
V1315,C0406,P0330,7,2024-10-06
V1316,C0845,P1217,8,2024-11-23
V1317,C0782,P0182,5,2025-05-24
V1318,C0156,P0407,4,2024-07-18
V1319,C0023,P1404,2,2024-12-18
V1320,C0650,P1075,10,2025-04-26
V1321,C0908,P0007,1,2024-10-08
V1322,C0196,P1162,6,2024-06-15
V1323,C0844,P0320,8,2024-11-25
V1324,C0136,P0500,2,2024-11-03
V1325,C0476,P0024,7,2024-09-24
V1326,C0333,P1227,1,2024-07-03
V1327,C0164,P1492,1,2024-01-07
V1328,C0274,P1852,2,2024-04-03
V1329,C0414,P0453,2,2025-05-01
